No,text
315,awokawok
316,push mmr di rank jgn di mpl
317,setidaknya sudah berusaha se maximal mungkin😌
318,toyy ganti skayler
319,"@dreemboy 7:@Nerd:hal yang sebenarnya terjadi:
onic-rrq 🤝
sonic- kingdom🤝
seblak-kongdom🤬😡
gua kingdom 🧡💛"
320,tidak papa ada masa lagi semangat rrq
321,Keep strong rrq dari evos💙🤝🧡
322,aku sonic tapi semangat rrq 😉💪
323,⊘ 𝘬𝘰𝘮𝘦𝘯 𝘪𝘯𝘪 𝘥𝘪𝘴𝘦𝘮𝘣𝘶𝘯𝘺𝘪𝘬𝘢𝘯 𝘬𝘦𝘳𝘢𝘯𝘢 𝘮𝘶𝘯𝘨𝘬𝘪𝘯 𝘮𝘦𝘯𝘺𝘪𝘯𝘨𝘨𝘶𝘯𝘨 𝘱𝘦𝘳𝘢𝘴𝘢𝘢𝘯 KINGDOM.
324,draft nya acak acakan gasi?
325,ngeliat rrq kala Mala ke ingat onic waktu m5
326,"""yeb udahh yebbb. mau juaraaaa"" 😂😂😂😂 wkwkwkwkkw"
327,"""dia lagi dia lagi"""
328,kecewa bukan berarti pergi 😇🙌🧡
329,𝙎𝙄𝙉𝙄 𝙆𝙐 𝘽𝘼𝘾𝙆 𝙎𝙈𝙐𝘼 𝘼𝙁𝙁𝙄𝙇𝙄𝘼𝙏𝙀 𝙏𝙄𝙆𝙏𝙊𝙆‼️👇🏻🔥🔥❗❗
330,rrq loh mau fokus M 10 nnti
331,"KENAPA DIEDIT PAKE LAGU INI ANJIR, NANGIS DERES LAGI GUA"
332,udah ya main raja raja nya wkwk yang asli ada landak nya🤪😋💛💛🦔
333,semangat untuk RRQ
334,udah ya main king king an nya😂
335,raja dari segala Runner up
336,wkwk
337,rispek
338,me
339,nagmataas kasi kaya ibinaba
340,kalian masih dukung kingdom kan🙁
341,udah nggak apa2 nanti runer up lagi season depan ahahahahaha 😂😂😂😂😂😂😂
342,mpl aja tau bagaimana perasaan rrq GK juara setiap sisen msc dan lainya
343,"keep strong rrq
salam sonic"
344,menang kalah itu biasa☺️
345,"Riset - riset RRQ, masih banyak kesempatan, jika kalah coba lagi, jadi dari yang lebih berbeda dari season lalu buat season depan."
346,"gua fans onic tapi sedih banget ngeliat rrq😔😔, tetep semangat buat rrq"
347,katanya mau turunin logo mpl😌
348,tetep semangat buat kingdom mungkin belum rezeki aj 🤟🔥🧡💛😼
349,"Bangkit 🔥 bangkit 🔥 sedih boleh, kecewa boleh, tapi jangan berlarut ya. keep strong kingdom dan semua."
350,onic
351,"buat rrq respect lah musuh udh win baru tauting gpp dah, salam dri onic"
352,toyy gimana selebrasi nya
353,menurut gw rrq kalo mainya konsisten bisa menang dari onic 4:2 eh ternyata banyak blundernya aja
354,kalian masih LLQ kan🥹
355,setidaknya Skylar tidak keluar😔
356,bikin nyesek 😭
357,"next time, lambada"
358,gpp next kasih paham rajanya siapa👑👑👑
359,"kasian mental2 nya berkali kali tinggal selangkah tapi runner up lagi, rasanya sama kaya kita diksh harapan dan berharap tapi endingnya kita di sakitin juga"
360,ini waktu kita bukan onic🤣🤣🤣🤣🤣
361,Aku pamit dari fans rrq🥰♥️
362,mau tidur kok ke inget granger toy😅
363,semangat broo masih ada ewc 💛🧡
364,si toy cuma bisa granger ke nya
365,"KALIAN KEREN,TPI TIDAK DENGAN FANS KALIAN"
366,nice try rrq season ini semoga kedepannya bisa lebih baik comeback stronger
367, [photo]
368,rrq mau kalah atau menang aku tetap dukung onic
369,gua sonic tpi ksian bgt liat dyrenn
370,udah yah main king kingnya
371,tertawa tapi terluka
372,dyrenn😔
373,kairi yg foto² sama ayng nya
374,kasian rrq hoshi
375,"liat mereka jd ingat, "" INI WAKTUNYA KITA, BUKAN ONIC "" 🤡"
376,min suruh fans onic damai min
377,intronesia
378,jadi caster anti onic mulu dah🤭
379,ler tolongin lerr😂
380,rrq main nya kyk komputer jir🤣
381,asalkan konsisten mewakili indo yah
382,Arsenal versi esport 🤣
383,udah dikasih unggul malah kepencet emot🗿
384,baru kali ini liat dyren sedih
385,akidah
386,siapa pun yg juara ttp rrq yg fyp🤣
387,sumpah durennn udh segacorrr ituuu loohhhh😞
388,reaksi dyrenn: gw kapan ya ngangkat piala
389,toy bang bang bang emote to silent bang bang bang 🤣🤣🤣
390,ga kuat liat dyren 😭😭
391,Nt rrq
392,season lalu ga exp Hero musuh
393,ONIC😚
394,RRQ push MMR granger😂
395,kip strong rrq
396,wkkwwk 🤣
397,Konsisten Teruss Yaaa Runner Up nyaa😇🙏
398,Onic lang malakas
399,HAHAHAHA
